fish_ID,date,time,spot,background,stimulus,correct,number_incorrect_pecks,time_detection_seconds,contrast
S,31/10/2017,15:00:00,bright,2bright,85-75-75,1,0,2.31,0.217397242
D,27/10/2017,10:00:00,dark,2bright,30-30-30,1,0,2.31,0.369359853
E,27/10/2017,10:00:00,dark,2bright,30-30-30,1,0,2.31,0.369359853
M,13/11/2017,15:00:00,dark,2bright,30-30-30,1,0,2.31,0.369359853
B,11/06/2017,15:00:00,bright,2bright,plain,1,0,2.31,0.419240736
J,11/09/2017,14:00:00,dark,1dark,30-30-30,1,0,2.32,0.227340804
M,11/02/2017,15:00:00,bright,2bright,75-71-69,1,0,2.34,0.129079105
O,20/10/2017,13:00:00,bright,2bright,75-71-69,1,0,2.34,0.129079105
O,11/02/2017,15:00:00,dark,2bright,50-50-50,1,0,2.34,0.146998711
R,11/01/2017,14:00:00,bright,1dark,66-58-55,1,0,2.34,0.148335617
N,14/11/2017,14:00:00,dark,1dark,36-36-36,1,0,2.34,0.162338153
M,24/10/2017,10:00:00,dark,2bright,48-48-48,1,0,2.34,0.197223484
N,11/06/2017,14:00:00,bright,1dark,55-55-55,1,0,2.35,0.098101105
D,20/10/2017,13:00:00,bright,2bright,70-66-64,1,0,2.35,0.099135488
T,25/10/2017,13:00:00,bright,1dark,63-58-55,1,0,2.35,0.119903714
H,27/10/2017,10:00:00,dark,2bright,48-48-48,1,0,2.35,0.197223484
M,30/10/2017,11:30:00,dark,2bright,48-48-48,1,0,2.35,0.197223484
S,15/11/2017,15:00:00,dark,2bright,48-48-48,1,0,2.35,0.197223484
H,24/10/2017,10:00:00,bright,2bright,75-71-69,1,0,2.37,0.129079105
G,11/03/2017,14:00:00,dark,1dark,36-36-36,1,0,2.37,0.162338153
N,14/11/2017,14:00:00,dark,1dark,30-30-30,1,0,2.37,0.227340804
J,11/01/2017,15:00:00,bright,1dark,53-53-53,1,0,2.38,0.058437472
I,20/10/2017,13:00:00,bright,1dark,55-55-55,1,0,2.38,0.098101105
N,11/10/2017,10:00:00,dark,1dark,30-30-30,1,0,2.38,0.227340804
R,11/02/2017,15:00:00,dark,1dark,30-30-30,1,0,2.38,0.227340804
N,14/11/2017,14:00:00,bright,1dark,85-75-75,1,0,2.38,0.36590405
O,11/01/2017,14:00:00,bright,2bright,plain,1,0,2.4,0.419240736
C,11/02/2017,15:00:00,dark,1dark,45-45-45,1,0,2.41,0.07566594
R,16/11/2017,10:00:00,dark,1dark,45-45-45,1,0,2.41,0.07566594
E,31/10/2017,16:00:00,dark,2bright,58-54-52,1,0,2.41,0.11571537
N,15/11/2017,15:00:00,bright,1dark,63-58-55,1,0,2.41,0.119903714
H,25/10/2017,11:00:00,dark,2bright,50-50-50,1,0,2.41,0.146998711
