Stimulus A,Stumulus B,Mean chemotaxis index (A relative to B),Standard deviation (measured/estimated),Standard error,Number of days repeated,All measured Chemotaxis indexes
'IA-1','NH4Ac-1E-0',0.494969647,0.137568949,0.137568949,1,0.49497
'IA-1','NH4Ac-2E+1',-0.128918835,0.205212206,0.205212206,1,-0.128919
'IA-1','NH4Ac-5E-0',0.077760973,0.214665769,0.214665769,1,0.077761
'IA-1','NaCl-1E-0',0.651807851,0.108586505,0.076782254,2,0.630896 0.672720 
'IA-1','NaCl-2E+1',0.154514548,0.200482324,0.141762411,2,0.468369 -0.159340 
'IA-1','NaCl-2E-1',0.841301798,0.073569542,0.052021522,2,0.809485 0.873119 
'IA-1','NaCl-5E-0',0.405174893,0.1541623,0.109009208,2,0.373703 0.436647 
'IA-1','No',0.835990476,0.128042865,0.052273281,6,0.973988 0.792932 0.610515 0.904762 0.824436 0.909310 
'IA-1','PD-2',0.40904091,0.153447891,0.108504044,2,0.484603 0.333479 
'IA-1','PD-3',0.235567302,0.185504424,0.131171436,2,0.587636 -0.116502 
'IA-1','PD-4',0.418830956,0.151638769,0.107224802,2,0.321942 0.515720 
'IA-1','PD-5',0.725507043,0.094967485,0.067152153,2,0.686019 0.764995 
'IA-1','Py-2',0.245627063,0.183645461,0.183645461,1,0.245627
'IA-1','Py-3',0.184428818,0.194954406,0.194954406,1,0.184429
'IA-1','Py-4',0.557098765,0.126087986,0.126087986,1,0.557099
'IA-1','Py-5',0.952386482,0.053041983,0.053041983,1,0.952386
'IA-1','TT-2',-0.483137442,0.139755446,0.139755446,1,-0.483137
'IA-1','TT-3',-0.602885957,0.117626879,0.117626879,1,-0.602886
'IA-1','TT-4',-0.22637486,0.187203114,0.187203114,1,-0.226375
'IA-1','TT-5',0.353233208,0.163760707,0.163760707,1,0.353233
'IA-2','IA-3',0.787849109,0.083447171,0.05900606,2,0.773135 0.802564 
'IA-2','IA-4',0.937990064,0.055702325,0.039387492,2,0.928431 0.947549 
'IA-2','NH4Ac-1E-0',0.620068659,0.114451654,0.114451654,1,0.620069
'IA-2','NH4Ac-2E+1',0.249433559,0.182942051,0.182942051,1,0.249434
'IA-2','NH4Ac-5E-0',0.47996369,0.14034193,0.14034193,1,0.479964
'IA-2','NaCl-1E-0',0.637100716,0.111304266,0.078704001,2,0.564258 0.709944 
'IA-2','NaCl-2E+1',0.076283703,0.214938757,0.151984653,2,0.372831 -0.220263 
'IA-2','NaCl-2E-1',0.749917739,0.090456584,0.063962464,2,0.718074 0.781762 
'IA-2','NaCl-5E-0',0.263703943,0.180304998,0.127494887,2,0.114795 0.412613 
'IA-2','No',0.877221271,0.064242187,0.026226763,6,0.947663 0.804284 0.800017 0.941520 0.876556 0.893288 
'IA-2','PD-2',-0.215222934,0.1892639,0.109271564,3,-0.395931 0.094607 -0.344344 
'IA-2','PD-3',-0.172583626,0.197143303,0.113820739,3,-0.442365 -0.091462 0.016077 
