"date","ref_roughness","delta_roughness","IR_ID_1","IR_ID_2","ref_target","choice_target","time_delay","bat_no"
7.32085521295926,1.8,0.6,327,486,2,1,5.343,1
7.32085521448021,1.8,0.3,350,407,2,1,4.516,1
7.32085521746771,1.8,0.7,341,503,1,1,7.312,1
7.32085522027083,1.8,0.2,346,386,1,2,4.438,1
7.32085522191655,1.8,0.9,343,560,2,2,4.89100000000001,1
7.320855227964,1.8,0.4,345,443,2,2,23.453,1
7.32085523148507,1.8,0.8,334,537,1,1,2.954,1
7.32085523451782,1.8,0.5,341,452,2,1,7.219,1
7.32085523978403,1.8,0.9,347,565,2,2,3.297,1
7.32085524278426,1.8,0.5,345,457,2,2,3.266,1
7.32085524698704,1.8,0.2,336,387,1,1,5.344,1
7.3208552489691,1.8,0.7,340,525,1,1,3.922,1
7.32085525326239,1.8,1,332,590,2,2,8.344,1
7.32085526064444,1.8,0.4,340,426,1,1,3.641,1
7.32085526862697,1.8,0.8,336,541,2,2,25.703,1
7.32085527216609,1.8,0.3,333,424,2,1,3.094,1
7.32085527460938,1.8,0.6,337,491,1,1,5.485,1
7.32085528306921,1.8,1,326,590,1,1,4.297,1
7.32085528729375,1.8,0.5,338,466,2,2,11.172,1
7.32085529090162,1.8,0.2,326,394,1,1,11.329,1
7.32085529851157,1.8,0.8,334,543,1,1,6.344,1
7.3208553005588,1.8,0.4,337,446,2,1,2.953,1
7.32085530326968,1.8,0.9,330,559,1,1,4.578,1
7.32085531508056,1.8,0.3,347,401,1,2,15.093,1
7.32085532939086,1.8,0.7,335,510,1,1,23.469,1
7.32085533186667,1.8,0.6,329,477,2,2,5.5,1
7.32086519382049,2.5,1,507,772,1,1,2.672,1
7.32086519575914,2.5,1,502,762,2,2,3.797,1
7.32086519803414,2.5,1,523,761,2,2,3.891,1
7.32086520084988,2.5,1,525,752,1,1,2.547,1
7.32086520356979,2.5,1,509,770,1,1,7.343,1
7.32086520696065,2.5,1,525,752,1,1,4.39,1
7.32086521206227,2.5,1,518,760,2,1,14.344,1
7.32086521333912,2.5,1,523,759,2,2,3.797,1
7.32086521640799,2.5,1,524,754,1,1,3.063,1
7.32086521892535,2.5,1,512,754,2,2,4.453,1
7.32086522112627,2.5,1,501,767,1,1,4.954,1
7.32086522456771,2.5,0.6,521,668,2,2,5.359,1
7.32086522802731,2.5,0.2,514,568,1,1,5.25,1
7.32086523179063,2.5,0.8,524,702,2,2,2.89,1
7.32086523588866,2.5,0.1,508,529,2,2,4.203,1
7.32086523827755,2.5,0.4,503,617,1,1,4.328,1
7.32086524109329,2.5,0.9,525,746,2,2,3.984,1
7.32086524306632,2.5,0.5,518,632,1,1,2.516,1
7.32086524531782,2.5,0.7,513,685,2,2,3.875,1
7.3208652505316,2.5,0.3,524,581,1,1,9.172,1
7.32086525271262,2.5,0.8,523,717,2,1,6.828,1
7.32086525433657,2.5,0.8,525,714,2,2,1.968,1
7.3208652573169,2.5,0.6,507,675,2,2,6.016,1
7.32086526138958,2.5,0.2,511,561,1,1,4.422,1
7.32086526667199,2.5,0.9,515,745,2,2,5.469,1
7.3208652716706,2.5,0.1,515,545,1,1,5.172,1
7.32086527560394,2.5,0.7,517,676,1,1,9.609,1
7.3208652807147,2.5,0.4,525,610,2,2,7.406,1
7.32086528397164,2.5,0.3,503,587,2,1,5.25,1
7.3208652872015,2.5,0.5,524,645,1,1,8.109,1
7.32086529520393,2.5,0.1,501,539,1,2,19.64,1
7.32086530137442,2.5,0.6,520,675,2,2,13.094,1
7.32086530442338,2.5,0.2,514,558,1,2,4.843,1
7.32086530666956,2.5,0.5,513,634,1,1,3.641,1
7.32086531390509,2.5,0.9,514,747,2,2,18.938,1
7.32086531846968,2.5,0.3,502,583,2,2,11.094,1
7.32086532259838,2.5,0.7,512,685,1,1,5.937,1
7.3208653250434,2.5,0.4,512,613,1,1,5.968,1
7.3208653276059,2.5,0.8,502,715,2,2,3.532,1
7.32086533181238,2.5,0.5,514,637,1,1,8.437,1
7.32087545048646,2.5,0.7,517,685,1,2,3.313,1
7.32087545239792,2.5,0.3,516,596,2,2,3.906,1
7.32087545489005,2.5,0.1,524,542,1,1,2.687,1
7.32087545851597,2.5,0.9,510,730,2,2,4.062,1
7.32087546180185,2.5,0.4,509,620,2,2,2.75,1
7.32087546537176,2.5,0.6,501,671,2,2,1.781,1
7.32087546767396,2.5,0.2,525,567,1,2,2.969,1
7.32087547246273,2.5,0.8,514,710,1,1,3,1
7.3208754755588,2.5,0.4,507,620,2,2,3.203,1
7.32087547854815,2.5,0.1,521,542,1,2,4.844,1
7.32087548021736,2.5,0.7,507,692,2,2,2.359,1
7.32087548185579,2.5,0.3,517,581,1,1,2.781,1
7.32087548440208,2.5,0.9,521,746,1,1,2.719,1
7.3208754870478,2.5,0.6,515,663,2,2,4.969,1
7.32087549028495,2.5,0.2,506,572,2,1,5.812,1
7.32087549222905,2.5,0.2,502,556,2,2,0.25,1
7.3208754962963,2.5,0.5,524,635,1,1,2.25,1
7.3208755001338,2.5,0.8,511,714,1,2,4.515,1
7.3208755016691,2.5,0.5,510,639,2,2,2.781,1
7.32087550364213,2.5,0.1,517,539,2,2,2.453,1
7.32087550763519,2.5,0.7,509,697,1,1,4.672,1
7.32087551241852,2.5,0.4,520,618,2,2,3.047,1
7.32087551759618,2.5,0.6,519,666,1,1,4.61,1
7.32087552075012,2.5,0.3,525,598,1,1,3.266,1
7.32087552478831,2.5,0.9,515,735,2,2,7.531,1
7.32087552943241,2.5,0.5,523,640,1,1,5.531,1
7.32087553398067,2.5,0.2,514,561,1,1,17.312,1
7.32087553697917,2.5,0.8,509,712,2,2,2.594,1
7.3208755414478,2.5,0.4,505,618,1,1,3.828,1
7.32087554513704,2.5,0.9,522,739,2,1,8.25,1
